Report ID,Category of Incident,Country of Incident,Date of Incident,Subject,Full Scientific Name,Common Name,Item / Commodity Type,Count,Quantity - Weight,Unit of Weight,Estimated Value,Currency,Value in USD,Airport
MOR2793,Hong Kong,Hong Kong,2/10/2015 0:00,60 kg of ivory carvings seized at Hong Kong International Airport,Elephantidae,Elephants,Ivory - Worked,,60.0,Kilograms,,,,"SkyPier Terminal, Hong Kong Airport"
MOR2797,Uganda,Uganda,3/18/2015 0:00,"50 ivory pieces seized at Kampala Airport, Uganda",Elephantidae,Elephants,Ivory Pieces - Raw,50.0,,,,,,Kampala Airport
MOR27998,Czech Republic,Czech Republic,1/5/2016 0:00,1 tiger claw seized at Vaclav Havel Airport,Panthera tigris,"Tiger, Tigre",Claw,1.0,,,,,,Vaclav Havel Airport
MOR2831,Viet Nam,Viet Nam,3/14/2015 0:00,43.5 kg of African elephant ivory seized at Tan Son Nhat International Airport - 2 arrested,Loxodonta africana,"African Elephant, African Savannah Elephant, Elefante africano, Eléphant africain, Eléphant d'Afrique",Ivory - Worked,,43.5,Kilograms,,,,Tan Son Nhat International Airport
MOR2846,Viet Nam,Viet Nam,3/1/2015 0:00,1.39 kg of rhino horn seized at Tan Son Nhat Airport,Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn Pieces - Raw,,1.39,Kilograms,,,,Tan Son Nhat International Airport
MOR2847,Madagascar,Madagascar,4/4/2015 0:00,9 radiated & 2 spider tortoises seized at Ivato International Airport - 2 suspects,Astrochelys radiata,"Radiated Tortoise, Tortuga estrellada de Madagascar, Tortuga rayada, Tortue radiée de Madagascar, Tortue rayonnée",Individual - Unknown,9.0,,,,,,Ivato International Airport
MOR2847,Madagascar,Madagascar,4/4/2015 0:00,9 radiated & 2 spider tortoises seized at Ivato International Airport - 2 suspects,Pyxis arachnoides,"Spider Tortoise, Tortuga araña, Tortuga de plastrón articulado, Pyxide arachnoide",Individual - Unknown,2.0,,,,,,Ivato International Airport
MOR2884,China,China,4/7/2015 0:00,25 kg pangolin scales seized at Shanghai Pudong International Airport - 1 arrested,Manidae,Pangolins,Scales,,25.0,Kilograms,,,,Erhu seized at Shanghai Pudong Airport
MOR2894,China,China,3/1/2015 0:00,45 ivory carvings (3.86 kg) seized at Fuzhou Changle International Airport - 1 convicted,Elephantidae,Elephants,Ivory - Worked,45.0,3.8654,Kilograms,161060.0,CNY,25966.0,Fuzhou Changle International Airport
MOR29001,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,1/1/2017 0:00,"ivory figure seized from parcel at Heathrow Airport, London",Elephantidae,Elephants,Ivory - Worked,1.0,,,,,,Heathrow Airport
MOR2906,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,2/1/2015 0:00,"165 turquoise dwarf geckos, chameleons, scorpions and frogs seized at Heathrow Airport - 1 arrested",Lygodactylus williamsi,Williams' Dwarf Gecko,Individual - Live,165.0,,,,,,Heathrow Airport
MOR2906,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,2/1/2015 0:00,"165 turquoise dwarf geckos, chameleons, scorpions and frogs seized at Heathrow Airport - 1 arrested",Rieppeleon brevicaudatus,Bearded Pygmy Chameleon,Individual - Live,136.0,,,,,,Heathrow Airport
MOR2906,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,2/1/2015 0:00,"165 turquoise dwarf geckos, chameleons, scorpions and frogs seized at Heathrow Airport - 1 arrested",Lygodactylus luteopicturatus,Yellow-headed Dwarf Gecko,Individual - Live,66.0,,,,,,Heathrow Airport
MOR29666,India,India,7/31/2015 0:00,Red sanders smuggler arrested at Mumbai Airport,Pterocarpus santalinus,"Agaru, Red Sandalwood, Redsanders, Red Sanders, Saunderswood, Leno de Sandalo Rojo, Sándalo rojo, Bois de Santal Rouge, Santal rouge",,,,,,,,Mumbai Airport
MOR29685,India,India,7/31/2015 0:00,Red sanders smuggler arrested at Mumbai Airport,Pterocarpus santalinus,"Agaru, Red Sandalwood, Redsanders, Red Sanders, Saunderswood, Leno de Sandalo Rojo, Sándalo rojo, Bois de Santal Rouge, Santal rouge",,,,,,,,Mumbai Airport
MOR2972,Viet Nam,Viet Nam,6/29/2015 0:00,2 ivory statues (2.31 kg) seized at Tan Son Nhat Airport,Loxodonta africana,"African Elephant, African Savannah Elephant, Elefante africano, Eléphant africain, Eléphant d'Afrique",Ivory - Worked,2.0,2.31,Kilograms,,,,Tan Son Nhat International Airport
MOR2986,South Africa,South Africa,7/2/2015 0:00,267 kg ivory seized at O.R. Tambo International Airport,Elephantidae,Elephants,Ivory Pieces - Raw,,267.0,Kilograms,4000000.0,ZAR,330000.0,O.R. Tambo International Airport
MOR3010,Kenya,Kenya,5/15/2015 0:00,"7 rhino horn, rhino tail, lion teeh and claws seized at Jomo Kenyatta International Airport - 1 Vietnamese national charged",Panthera leo,"Lion, León, Lion d'Afrique",Teeth,,1.2,Kilograms,,,,Jomo Kenyatta International Airport
MOR3010,Kenya,Kenya,5/15/2015 0:00,"7 rhino horn, rhino tail, lion teeh and claws seized at Jomo Kenyatta International Airport - 1 Vietnamese national charged",Panthera leo,"Lion, León, Lion d'Afrique",Claw,,,,,,,Jomo Kenyatta International Airport
MOR3010,Kenya,Kenya,5/15/2015 0:00,"7 rhino horn, rhino tail, lion teeh and claws seized at Jomo Kenyatta International Airport - 1 Vietnamese national charged",Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn,7.0,,,126000.0,USD,,Jomo Kenyatta International Airport
MOR3010,Kenya,Kenya,5/15/2015 0:00,"7 rhino horn, rhino tail, lion teeh and claws seized at Jomo Kenyatta International Airport - 1 Vietnamese national charged",Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Tail,,0.96,Kilograms,,,,Jomo Kenyatta International Airport
MOR3034,China,China,4/1/2015 0:00,3.68 kg ivory & pangolin scales seized from 3 suitcases at Guangzhou Baiyun International Airport,Elephantidae,Elephants,Tusk,,3.14,Kilograms,,,,Guangzhou Baiyun International Airport
MOR3034,China,China,4/1/2015 0:00,3.68 kg ivory & pangolin scales seized from 3 suitcases at Guangzhou Baiyun International Airport,Elephantidae,Elephants,Ivory - Worked,,0.54,Kilograms,,,,Guangzhou Baiyun International Airport
MOR3034,China,China,4/1/2015 0:00,3.68 kg ivory & pangolin scales seized from 3 suitcases at Guangzhou Baiyun International Airport,Manidae,Pangolins,Scales,2.0,,,,,,Guangzhou Baiyun International Airport
MOR3038,China,China,3/25/2015 0:00,30 ivory carvings (1.28 kg) seized at Xiaoshan Airport - 2 suspects,Elephantidae,Elephants,Ivory - Worked,30.0,1.28,Kilograms,,,,Hangzhou Xiaoshan International Airport
